LOG_NO,"NOTIFIER, VENDOR",DESCRIPTION,REP_DATE,ACCESS_NO 
89007,"ARIZONA PUBLIC SERVICE, COOPER ENERGY",SMALL CRACKS IN DIESEL EXHAUST VALVE ROCKER ARM,01/17/1989,8901300414
89008,"ARIZONA PUBLIC SERVICE, COOPER ENERGY",SMALL CRACKS IN DIESEL EXHAUST VALVE ROCKER ARM,02/06/1989,8902240282
89009,"NIAGARA MOHAWK POWER,G. DIKKERS, GENERAL ELECTRIC",SAFETY RELIEF VALVES FAILED SETPOINT TEST,01/18/1989,8901250084
89010,GEORGIA POWER,IMPROPER TYPE OR SIZE OF ELECTRICAL FUSES,01/27/1989,8902060305
89011,"WESTINGHOUSE, KANSAS GAS AND ELECTRIC",FULL LENGTH HAFNIUM CONTROL ROD SWELLING AND CRACKING,01/09/1989,8901260047
89012,GEORGIA POWER,"ISOLATION OF THE NORMAL CONTROL ROOM HEATING, VENTILATION, AND AIR CONDITIONING SYSTEM",01/26/1989,8902020243
89013,ROCKWELL INTERNATIONAL,ALUMINUM BRONZE COATING ON PISTONS USED IN TYPE A ACTUATORS ON MAIN STEAM ISOLATION VALVES,01/23/1989,8901310103
89014,"NIAGARA MOHAWK POWER,MORRISON-KNUDSEN",LACK OF TEST REPORTS FOR UPGRADING COMMERCIAL GRADE ITEMS TO SAFETY RELATED FOR DIESEL GENERATORS,01/03/1989,8901130317
89015,"TRANSAMERICA DELAVAL, COOPER ENERGY",CRACKS IN DIESEL GENERATOR VALVE ASSEMBLIES,01/18/1989,8901260034
89016,"VICTOREEN, GENERAL PUBLIC UTILITIES",RADIATION ALARMS MIGHT BE INHIBITED IN 960 FIRMWARE,01/27/1989,8902160039
89017,"GEORGIA POWER, AMERICAN AIR FILTER",SEISMIC DOOR TABS MISSING FROM ENGINEERED SAFEGUARD FEATURES UNIT COOLERS,02/01/1989,8902170084
89018,"POWER AUTHORITY OF STATE OF NEW YORK,RELIANCE ELECTRIC, ANCHOR/DARLING",VALVE MOTOR OPERATOR FAILED ON OVERLOAD DURING TESTING,12/19/1988,8812290250
89019,AUTOMATIC SWITCH COMPANY,REPORTED PROBLEMS WITH VALVES,02/14/1989,8902230377
89020,AUTOMATIC SWITCH COMPANY,RETURN SPRING MAY DISENGAGE FROM SOLENOID CORE AND RESULT IN LEAKAGE OR FAILURE OF VALVE TO SHIFT WHEN ENERGIZED,01/30/1989,8902060052
89021,GENERAL ELECTRIC,SUSCEPTIBILITY TO INTERGRANULAR STRESS CORROSION CRACKING OF WELD BETWEEN CORE SPRAY LINE AND THERMAL SLEEVE,03/02/1989,8903150209
89022,GENERAL ELECTRIC,CORE NEUTRON FLUX MONITORING AND REACTOR PROTECTION DURING REFUELING,03/02/1989,8903200262
89023,BABCOCK AND WILCOX,SUSCEPTIBILITY TO PRIMARY WATER STRESS CORROSION CRACKING OF INCONEL 600 STEAM GENERATOR TUBE PLUGS FABRICATED FROM HEAT W592,02/03/1989,8902170125
89024,BBC BROWN BOVERI,CIRCUIT BREAKERS MODELS K-225 THROUGH K-2000 DO NOT HAVE REBOUND SPRINGS AND THEREFORE ARE NOT SEISMICALLY QUALIFIED,01/13/1989,8902130423
89025,BBC BROWN BOVERI,CIRCUIT BREAKERS MODELS K-225 THROUGH K-2000 DO NOT HAVE REBOUND SPRINGS AND THEREFORE ARE NOT SEISMICALLY QUALIFIED,02/16/1989,8903010062
89026,GENERAL ELECTRIC,"RECIRCULATION FLOW CONTROL LOGIC COULD ALLOW BOTH RECIRCULATION FLOW CONTROL VALVES TO FULLY OPEN, LEADING TO EXCESSIVE MINIMUM CRITICAL POWER RATIO",03/08/1989,8903160338
89027,"BALTIMORE GAS AND ELECTRIC, COMBUSTION ENGINEERING",REFUELING PROCEDURES MAY ALLOW REDUCED SHUTDOWN MARGIN,03/15/1989,8903220051
89028,"PHILADELPHIA ELECTRIC,C AND D BATTERIES",NEW CIRCUIT BOARDS PREVENT BATTERY CHARGING WITHIN REQUIRED EIGHT HOURS,03/28/1989,8904130266
89029,"GENERAL ELECTRIC, TENNESSEE VALLEY AUTHORITY",RESIDUAL HEAT REMOVAL INBOARD ISOLATION VALVE NOT PRESSURE TESTED DURING ASME HYDRO TEST OF REACTOR COOLANT PRESSURE BOUNDARY,02/06/1989,8904040175
89030,"CONSUMERS POWER, PAUL-MUNROE ENERTECH",LISTING OF LOCATIONS OF VALVES WITH SAME SEAT DESIGN IN SAME SERVICE,03/17/1989,8904030125
89031,"NUCLEAR ENERGY SERVICES, NIAGARA MOHAWK POWER",DEFICIENCIES IN 10 YEAR INSERVICE INSPECTION PROGRAM,03/23/1989,8908010263
89032,"NUCLEAR REGULATORY COMMISSION, MQS INSPECTION",QUESTION IF 10 CFR PART 21 REPORT APPLIED TO SUPPLIERS WHO VERIFY ACCURACY OF TEST EQUIPMENT AND STANDARDS,03/17/1989,8903240155
89033,"CONSOLIDATED EDISON,AUTOMATIC SWITCH COMPANY",RETURN SPRING MAY DISENGAGE FROM SOLENOID CORE AND RESULT IN LEAKAGE OR FAILURE OF VALVE TO SHIFT WHEN ENERGIZED,03/13/1989,8903230093
89034,"BALTIMORE GAS AND ELECTRIC, FAIRBANKS MORSE","CAVITATIONAL EROSION CAN CAUSE LEAKS IN EMERGENCY DEISEL GENERATOR FUEL SUPPLY CROSSOVER LINE, CREATING SIGNIFICANT FIRE HAZARD",03/07/1989,8903200227
89035,"ROCHESTER GAS AND ELECTRIC,AMP",CRIMPING TOOL NOT MACHINED TO PROPER DIMENSIONS,02/28/1989,8903080098
89036,"FOXBORO, WESTINGHOUSE",H-LINE STYLE C CONTROLLER INCOMPATIBLE WITH NIS INPUTS; THUS REACTOR TRIP SETPOINTS NOT REDUCED DURING LARGE FLUX TILTSXXXXXX,10/12/1988,8810210377
89037,"FLORIDA POWER CORPORATION,BBC BROWN BOVERI",K-LINE CIRCUIT BREAKERS MISSING REBOUND SPRINGS WHICH COULD RESULT IN SLOW BREAKER CLOSURE OR JAM OF BREAKER PARTIALLY CLOSED,03/15/1989,8903220017
89038,"MOVATS, LIMITORQUE",TESTING SHOWED THRUST DELIVERED FOR A GIVEN SPRING PACK DISPLACEMENT IS LESS FOR SLOWER LOADING RATES THAN FOR FAST LOADING RATES,02/22/1989,8903160351
89039,"MOVATS, LIMITORQUE",GREASE RELIEF KIT USED TO PREVENT HYDRAULIC LOCKING OF SPRING PACK CAUSED LOCKED ROTOR CONDITION,01/31/1989,8903160357
89040,"COOPER ENERGY, BASLER ELECTRIC",ALL SUPPLIED RELAYS ARE INSTALLED IN DIESEL GENERATOR EQUIPMENT OWNED BY TENNESSEE VALLEY AUTHORITY,03/03/1989,8903100191
89041,BASLER ELECTRIC,BEI-32 POWER RELAYS HAVE RANDOM SETPOINT DRIFT,02/23/1989,8904130505
89042,"TOLEDO EDISON, VELAN VALVE",USE OF DRY FILM LUBRICANT ADVISED BY VENDOR CONTRIBUTED TO WEAR AND INCREASED MOTOR OPERATOR TORQUE REQUIREMENTS,02/27/1989,8903090024
89043,"BBC BROWN BOVERI, INDIANA AND MICHIGAN ELECTRIC",RELUBRICATION OF 5HK250 CIRCUIT BREAKERS TO BE PERFORMED IF CONTAMINATION FOUND OR IF PARTS ARE REPLACED,03/21/1989,8903270066
89044,"IME,BBC BROWN BOVERI",TWO 5HK250 CIRCUIT BREAKERS FAILED TO CLOSE AS REQUIRED BECAUSE OF CONTAMINATION IN THE LUBRICANT,03/03/1989,8903100446
89045,"KANSAS GAS AND ELECTRIC, GENERAL ELECTRIC",CRACKED WELDS ON STRIKER PLATES OF MAGNE-BLAST CIRCUIT BREAKERS INSUFFICIENT TO RESIST IMPACT LOADS DURING BREAKER OPERATION,03/03/1989,8903140190
89046,COOPER ENERGY,CRACKS OR IMPROPER GRINDING IN FUEL INJECTION PUMP OF DSR OR DSRV STANDBY DEISEL GENERATOR,03/01/1989,8903200079
89047,"NIAGARA MOHAWK POWER,COOPER ENERGY",INCORRECTLY INSTALLED POST LUBRICATING OIL PILOT VALVE TURBOCHARGER,03/16/1989,8903220357
89048,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE",POTENTIAL FAILURE OF MELAMINE TORQUE SWITCHES IN VALVE ACTUATORS,03/17/1989,8903270037
89049,"VERMONT YANKEE, LIMITORQUE, RELIANCE ELECTRIC","FOUR LOOSENED 10-32 MOTOR END BELL BOLTS FAILED, PREVENTING VALVE ACTUATION",02/14/1989,8903200256
89050,CONTROL COMPONENTS,ATMOSPHERIC DUMP VALVES MAY FAIL TO OPEN AS A RESULT OF PISTON RING FAILING TO SEAL,04/04/1989,8904070001
89051,GENERAL ATOMIC,RADIATION MONITOR ACCURACY OUTSIDE ACCEPTABLE RANGE DURING LOSS OF COOLANT ACCIDENT,03/28/1989,8904140263
89052,RUSKIN COMPANY,LOCTITE 277 COMPOUND APPLIED TO THREADS PREVENTS SHAFT ROTATION IN YOKE OF ACTUATOR DAMPER,03/27/1989,8904140163
89053,BBC BROWN BOVERI,EPOXY ANHYDRIDE COMPOUND FOUND TO BE SOFTENING OR LIQUEFYING IN LOW VOLTAGE CURRENT TRANSFORMERS AND GROUND SENSORS,04/17/1989,8905100203
89054,"MORRISON-KNUDSEN, TENNESSEE VALLEY AUTHORITY",POTENTIAL PROBLEM WITH AIR START MOTORS FURNISHED AS SPARE PARTS FOR EMERGENCY POWER GENERATORS,04/04/1989,8904070025
89055,"NORTHEAST NUCLEAR ENERGY,BBC BROWN BOVERI",DEFICIENCIES IN 480V LOAD CENTER CIRCUIT BREAKERS,04/04/1989,8904140221
89056,"VICTOREEN, GENERAL PUBLIC UTILITIES",NEW PROMATEC MODIFIED TO CORRECT PROBLEM,04/11/1989,8910170206
89057,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE",FAILED PINION KEYS AND MOTOR SHAFT IN OPERATOR,03/29/1989,8904040163
89058,"DUQUESNE LIGHT, WESTINGHOUSE",METAL LINERS FAILED IN COMPONENT COOLING WATER PUMP SUCTION EXPANSION JOINT,03/30/1989,8904120112
89059,"SACRAMENTO MUNICIPAL UTILITY DISTRICT, LIMITORQUE",CONTAINMENT ISOLATION VALVE MOTOR OPERATORS HAVE TORQUE SWITCHES WITH INADEQUATE ENVIRONMENTAL QUALIFICATION DOCUMENTATION,04/17/1989,8904260225
89060,"JERSEY CENTRAL POWER AND LIGHT,J. E. LONERGAN",PREMATURE LIFT OF CORE SPRAY SAFETY RELIEF VALVES,04/04/1989,8904130351
89061,"NORTHEAST NUCLEAR ENERGY,ROSEMOUNT",LOSS OF OIL FROM SENSING CELL IN NUMEROUS DIFFERENTIAL PRESSURE TRANSMITTERS,04/13/1989,8904240128
89062,ROSEMOUNT,MODEL 1153 AND 1154 TRANSMITTERS HAVE INTERNAL FILL FLUID LEAKAGE FROM SENSING MODULE,04/18/1989,8905010159
89063,"PUBLIC SERVICE OF COLORADO, CATERPILLAR TRACTOR",COOLANT FLOW DIRECTORS DISLODGED FROM PORTS ON DIESEL GENERATOR ENGINES,04/17/1989,8904270117
89064,"ARIZONA PUBLIC SERVICE, CONTROL COMPONENTS",ATMOSPHERIC DUMP VALVES HAVE EXCESSIVE INTERNAL LEAKAGE,04/17/1989,8904270076
89065,ROSEMOUNT,MODEL 1153 AND 1154 TRANSMITTERS HAVE INTERNAL FILL FLUID LEAKAGE FROM SENSING MODULE,04/11/1989,8904250243
89066,"COMBUSTION ENGINEERING, ARIZONA PUBLIC SERVICE",INTERMITTENT GROUNDING OF A CONTROL ELEMENT DRIVE MECHANISM COIL LEAD MAY RESULT IN SLIP OR DROP OF MULTIPLE CONTROL ELEMENT ASSEMBLIES,04/20/1989,8904280113
89067,TEXAS UTILITIES GENERATING,PIN CONNECTING CHARGING MOTOR LINKAGE TO CLASS 1E 6.9 KV BREAKER CLOSING SPRING MISPOSITIONED OR MISSING,04/12/1989,8904200111
89068,"WASHINGTON PUBLIC POWER,MOBIL OIL",NONMETALLIC COMPONENTS AND SLUDGE IN TREATED LUBRICATING OIL,04/21/1989,8904260334
89069,QUALITY SERVICES INTERNATIONAL,LEVEL III EXAMINERS NOT CERTIFIED ACCORDING TO ANSI N45.2.6-1978,04/10/1989,8904210380
89070,ECOTECH,REQUESTED CLARIFICATION OF COMMERCIAL GRADE ITEM AND DEDICATION PROCESS,04/11/1989,8904240078
89071,RUSKIN COMPANY,LOCTITE 277 COMPOUND APPLIED TO THREADS PREVENTS SHAFT ROTATION IN YOKE OF ACTUATOR DAMPER,02/02/1989,8905180154
89072,"MORRISON-KNUDSEN, TENNESSEE VALLEY AUTHORITY",AIR START MOTOR PINIONS COULD NOT ROTATE FREELY BY HAND BECAUSE STARTER VANES ABSORB MOISTURE,05/02/1989,8905180005
89073,"TRANSAMERICA DELAVAL, COOPER ENERGY",CRANKSHAFT CONNECTING ROD JOURNALS CAUSE BEARING SHELL ROTATION ON STANDBY DIESEL GENERATOR,04/11/1989,8904240034
89074,"CAROLINA POWER AND LIGHT, LIMITORQUE",TORQUE SWITCH SET TOO LOW ON HIGH PRESSURE COOLANT INJECTION VALVE OPERATOR,04/07/1989,8904140510
89075,"ARIZONA PUBLIC SERVICE,RUSKIN COMPANY","BROKEN BOLTING THAT SECURES BLADES TO AXLE SHAFTS IN HEATING, VENTILATION, AND AIR CONDITIONING DAMPERS",04/25/1989,8905090215
89076,AUTOMATIC SWITCH COMPANY,CERTAIN VALVE NAMEPLATES MAY HAVE BEEN INADVERTENTLY STAMPED WITH THE INCORRECT REBUILD KIT NUMBER,04/24/1989,8905180136
89077,"NORTHEAST NUCLEAR ENERGY, TELEMECANIQUE",SEVERAL MOTOR CONTROL STARTERS FAILED DUE TO MECHANICAL BINDING,05/15/1989,8905230005
89078,"ILLINOIS POWER, NUTECH, RAYCHEM",SOLENOID OPERATED AIR PILOT VALVES FOR MAIN STEAM SYSTEM SAFETY RELIEF VALVES FAILED TO MEET ENVIRONMENTAL QUALIFICATION BECAUSE OF UNSPECIFIED HEAT SHRINK SLEEVE DESIGN,05/04/1989,8905240120
89079,"ROCHESTER GAS AND ELECTRIC,PACIFIC PUMPS, CRANE PACKING",INTERFERENCE BETWEEN MECHANICAL SEAL PUMPING RING AND PUMP DISCHARGE HOUSING IN RESIDUAL HEAT REMOVAL PUMPS,05/12/1989,8905250264
89080,"WASHINGTON PUBLIC POWER,TARGET ROCK","ACTUATOR KITS HAVE COLD SOLDER, INSUFFICIENT, AND FAILED SOLDER JOINTS",05/19/1989,8905260197
89081,"PUBLIC SERVICE ELECTRIC AND GAS, WESTINGHOUSE, AMP",SOLID STATE PROTECTION SYSTEM TERMI-POINT CLIP CONNECTIONS NOT MADE CORRECTLY,05/16/1989,8905250231
89082,"PORTLAND GENERAL ELECTRIC,BUNKER RAMO",ELECTRICAL PENETRATION ASSEMBLY WIRE CRIMP TERMINATIONS OF SOFT SEAL EPOXY DESIGN FAILED TO REMAIN INTACT UNDER TENSILE LOAD TEST,05/26/1989,8906070082
89083,GENERAL ELECTRIC,REACTOR COOLANT PIPING MAY NOT BE ISOLATED WHEN TEMPERATURE MONITORING IDENTIFIES LEAKAGE IN EQUIPMENT ROOM,05/31/1989,8906080145
89084,"ARIZONA PUBLIC SERVICE, COMBUSTION ENGINEERING",INTERMITTENT GROUNDING OF A CONTROL ELEMENT DRIVE MECHANISM COIL LEAD MAY RESULT IN SLIP OR DROP OF MULTIPLE CONTROL ELEMENT ASSEMBLIES,05/12/1989,8905250550
89085,"UNION ELECTRIC, CARRIER CORPORATION, BECHTEL POWER",SAFETY RELATED CARBON STEEL ROOM COOLER VENTS AND DRAINS SUSCEPTIBLE TO GALVANIC CORROSION AT INTERFACE WITH 90-10 COPPER-NICKEL ROOM COOLER SUPPLY AND RETURN HEADERS,05/10/1989,8905220005
89086,"NAMCO CONTROL, TEXAS UTILITIES GENERATING",GREASE CAUSED ERRATIC OPERATION OF EA740 AND EA750 LIMIT SWITCHES,05/03/1989,8906050235
89087,BALTIMORE GAS AND ELECTRIC,RESPONSIBLE OFFICERS FOR 10 CFR PART 21 REPORTING REQUIREMENTS,05/05/1989,8905150346
89088,"CAROLINA POWER AND LIGHT,UNION PUMP",SURFACE IRREGULARITIES ON VALVE SPRING SEATING SURFACES IN STANDBY LIQUID CONTROL SYSTEM PUMP SUCTION AND DISCHARGE VALVES,05/01/1989,8905250512
89089,"WASHINGTON PUBLIC POWER,LIMITORQUE",EXCESS MATERIAL LEFT IN HOUSING COVER FOLLOWING CASTING PROCESS ON VALVE MOTOR OPERATOR MODEL SMB-2,06/02/1989,8906060288
89090,"CAROLINA POWER AND LIGHT,UNITED ENGINEERS",VALVE IN INTERMEDIATE POSITION WITH LIGHT SHOWING VALVE OPEN,04/28/1989,8905080093
89091,"WASHINGTON PUBLIC POWER,LIMITORQUE",VALVE MOTOR OPERATOR MODEL SMB-2 WITH SOFT WORM SHAFT CLUTCH GEAR ASSEMBLY MISSING SPLIT SPACER,04/26/1989,8905040011
89092,ITT BARTON,IMPROPERLY ASSEMBLED POPPET IN AMPLIFIER USED IN NH-95 OR NH-96 ACTUATORS WILL RESULT IN ACTUATOR NOT STROKING ON DEMAND,06/15/1989,8906280053
89093,LIMITORQUE,MODEL 724 TERMINAL BLOCKS INADVERTENTLY SUPPLIED FOR SAFETY RELATED SMB VALVE ACTUATORS,06/01/1989,8906160209
89094,"ARIZONA PUBLIC SERVICE, POTTER AND BRUMFIELD",EPOXY IN MOTOR DRIVEN RELAY COILS CAUSES BONDING OF ROTOR AND STATOR,05/08/1989,8905170011
89095,"MORRISON-KNUDSEN, FLORIDA POWER AND LIGHT,O AND M MANUFACTURING",RADIATOR SHAFT BEARING FAILED ON STANDBY DIESEL GENERATOR,06/05/1989,8906190084
89096,BALTIMORE GAS AND ELECTRIC,CORRECTED NAME OF AN ALTERNATE DESIGNATED OFFICER,06/06/1989,8906190041
89097,"ILLINOIS POWER, ANCHOR/DARLING",MINIMUM THREAD CONTACT AREA OF GATE VALVE ACTUATOR NUT WITH VALVE STEM,06/13/1989,8906280119
89098,"LIBERTY CONTROLS, BABCOCK AND WILCOX",VALVE OPERATION TEST AND EVALUATION SYSTEM (VOTES) FORCE SENSOR WILL INDICATE HIGHER THAN ACTUAL FORCE WHEN C-CLAMP OR U- CLAMP IS PLACED ON UNTHREADED PORTION OF VALVE STEM,06/07/1989,8906280161
89099,BOSTON EDISON,STATUS REPORT,06/07/1989,8906200373
89100,FISHER CONTROLS,POTENTIAL GALLING OF 316 STAINLESS STEEL DISKS ON CERTAIN CONTROL VALVES; POTENTIAL PREMATURE WEAR AND FAILURE OF THREADS ON MANUAL OPERATION OF TOP MOUNTED HANDWHEELS OF CERTAIN ACTUATORS,06/15/1989,8906280158
89101,"WESTINGHOUSE, POWER AUTHORITY OF STATE OF NEW YORK",REFURBISHED DS CIRCUIT BREAKERS FAILED TO CLOSE DUE TO BEARING CORROSION,06/09/1989,8906230018
89102,NIAGARA MOHAWK POWER,UNSEALED BLOCKOUT THAT COULD RESULT IN STRUCTURAL DAMAGE TO CONTROL BUILDING DURING AN INTERNAL FLOODING EVENT,06/20/1989,8903070025XXXXXX
89103,"PUBLIC SERVICE ELECTRIC AND GAS, WESTINGHOUSE, AMP",INADEQUATE CONNECTION OF TERMI- POINT CLIPS IN SOLID STATE PROTECTION SYSTEM CABINET,05/31/1989,8906090171
89104,COOPER ENERGY,BUSHINGS IN ACCESSORY DRIVE ASSEMBLY OF DSR STANDBY DEISEL GENERATOR SEIZED TO SHAFT DUE TO INSUFFICIENT LUBRICATION,06/15/1989,8906260002
89105,"NEBRASKA PUBLIC POWER DISTRICT, HUICO INCORPORATED, GENERAL ELECTRIC",UNQUALIFIED SPLICES FOUND IN CONDUIT RUNNING FROM RACK MOUNTED SWITCHES TO TERMINAL BOXES MOUNTED ON SAME RACK,06/08/1989,8910170045
89106,"DUKE POWER, ITT GRINNELL",MINI-STIFF PIPE CLAMPS FAILED DUE TO IMPROPER HEAT TREATMENT,05/22/1989,8906020172
89107,"ARIZONA PUBLIC SERVICE, COOPER ENERGY",EXHAUST ROCKER ARM OF EMERGENCY DEISEL GENERATOR FAILED,06/27/1989,8907070300
89108,AMERSHAM,MODEL 899 RADIOGRAPHY SOURCE ASSEMBLY HANGS UP IN CAMERAS WHEN OPERATOR TRIED TO CRANK THE SOURCE TO EXPOSED POSITION,06/30/1989,8910170084
89109,"WISCONSIN ELECTRIC POWER, WESTINGHOUSE",NBFD RELAYS AND BF RELAYS DELIVERED WITH MANY MISSING CONTACT BUTTONS FROM BOTH MOVING AND STATIONARY CONTACTS,05/30/1989,8907180232
89110,"MEREDITH CORPORATION, COPPERWELD STEEL, LOUISIANA POWER AND LIGHT",QUENCH CRACKS FOUND IN A-SA-193 GRADE B7 BAR STOCK FOR PRESSURE VESSEL,07/17/1989,8907200293
89111,"TENNESSEE VALLEY AUTHORITY, APPLIED ENGINEERING",CRACK IN COMPONENT COOLING SYSTEM SURGE TANK BAFFLE,06/11/1989,8907130337
89112,"GULF STATES UTILITIES, LIMITORQUE",DEFECTS IN VARIOUS SIZES OF MOTOR OPERATORS THAT HAVE SAFETY RELATED VALVE OPERATORS,06/30/1989,8907280104
89113,"VERMONT YANKEE, WALWORTH, ALOYCO",GLOBE VALVE STEM FAILED,07/27/1989,8908020155
89114,BOSTON EDISON,STATUS REPORT,07/19/1989,8907240266
89115,PHILADELPHIA ELECTRIC,STATUS REPORT,07/19/1989,8907240482
89116,NIAGARA MOHAWK POWER,STATUS REPORT,07/12/1989,8907240304
89117,"BALTIMORE GAS AND ELECTRIC,ITT GRINNELL",NUT FOR STEAM GENERATOR SNUBBER SHEARED,07/13/1989,8907190208
89118,"TEXAS UTILITIES GENERATING,BBC BROWN BOVERI",CONTAMINATION IN LUBRICANT IN 5HK250 CIRCUIT BREAKERS,07/24/1989,8907280023
89119,"MORRISON-KNUDSEN, INGERSOLL-RAND",DISCUSSES AIR START MOTOR VANES BEING TOO LONG,07/12/1989,8907200351
89120,"MORRISON-KNUDSEN, ELECTRO MOTIVE DIVISION OF GENERAL MOTORS",CONTROL WIRING INSULATION IN ENGINE AND GENERATOR CONTROL PANELS DEGRADED BETWEEN WIRE AND OUTER JACKET,07/12/1989,8907250151
89121,"ARIZONA PUBLIC SERVICE, POTTER AND BRUMFIELD",APPLICATION METHOD OF EPOXY TO RELAY COILS TO PRECLUDE CONTAMINATION,07/25/1989,8908010124
89122,"TENNESSEE VALLEY AUTHORITY, LIMITORQUE",POTENTIAL FAILURE OF MELAMINE TORQUE SWITCHES IN CERTAIN VALVE ACTUATORS,07/13/1989,8907170453
89123,"PHILADELPHIA ELECTRIC,NUPRO COMPANY",TEST VALVES IN INSTRUMENT LINES DOWNSTREAM OF CERTAIN EXCESS FLOW CHECK VALVES NOT LEAK TIGHT DURING DESIGN BASIS ACCIDENT,07/07/1989,8907170414
89124,CLEVELAND ELECTRIC ILLUMINATING,DEFICIENCIES IN DESIGN OF DIESEL GENERATOR NEUTRAL GROUND FAULT DETECTION AND TRIP CIRCUITRY,06/23/1989,8906270499
89125,"TENNESSEE VALLEY AUTHORITY, GENERAL ELECTRIC",SEISMIC MODEL INCORRECTLY ASSUMED THE EXISTENCE OF SEISMIC RESTRAINTS ON CONTROL ROD DRIVE HOUSINGS,06/15/1989,8910190138
89126,"WASHINGTON PUBLIC POWER,BURNS AND ROE",PENETRATIONS IN STEAM TUNNEL COULD FAIL TO PERFORM AS PRESSURE BOUNDARY FOLLOWING DESIGN BASIS MAIN STEAM LINE BREAK IN STEAM TUNNEL,07/19/1989,8907280223
89127,"GEORGIA POWER, ROCKWELL INTERNATIONAL, KEANE CONTROL",MAIN STEAM ISOLATION VALVE ACTUATORS COULD FAIL TO OPERATE DUE TO HYDRAULIC OVERPRESSURE CAUSED BY SMALL RISE IN AMBIENT TEMPERATURE,02/23/1987,8703030234
89128,"CAROLINA POWER AND LIGHT, CONTROL COMPONENTS",MAIN STEAM POWER OPERATED RELIEF VALVES MAY FAIL TO OPEN DUE TO FAILURE OF PISTON RING TO SEAL,07/26/1989,8908070312
89129,ROSEMOUNT,"RESISTANCE BRIDGES CAN DEGRADE UNDER CERTAIN COMBINATIONS OF HUMIDITY, TEMPERATURE, POWER, AND DURATION",08/17/1989,8908290021
89130,"HOUSTON LIGHTING AND POWER, NAMCO CONTROL",MODEL EA740 LIMIT SWITCH STUCK IN THE VALVE CLOSED POSITION AFTER VALVE WAS OPENED,07/03/1989,8907100202
89131,"WASHINGTON PUBLIC POWER,BURNS AND ROE",NO PROTECTIVE TRIPPING PAST MAJOR 480V DISTRIBUTION CENTERS DOWN TO SUBFED CLASS IE MOTOR CONTROL CENTERS,08/21/1989,8908300133
89132,"PHILADELPHIA ELECTRIC,NUPRO COMPANY",TEST VALVES NOT LEAK TIGHT DURING DESIGN BASIS ACCIDENT,08/08/1989,8908150173
89133,"DUQUESNE LIGHT, POTTER AND BRUMFIELD, TARGET ROCK",SOLID STATE PROTECTION SYSTEM AUXILIARY RELAYS RATED AT 0.8 AMPS DC USED IN APPLICATION THAT REQUIRED 1.4 AMPS DC,08/09/1989,8908160340
89134,"GILBERT/COMMONWE ALTH,SOUTH CAROLINA ELECTRIC AND GAS",FAILURE OF NONSAFETY PIPING INLET AIR CHAMBER COULD CAUSE FLOODING OF ELECTRICAL EQUIPMENT ROOM IN SERVICE WATER PUMP HOUSE,08/11/1989,8908180357
89135,HOUSTON LIGHTING AND POWER,CONTAINMENT ELECTRICAL PENETRATIONS NOT PROVIDED WITH BACKUP OVERCURRENT PROTECTION,02/22/1989,8903030466
89136,HOUSTON LIGHTING AND POWER,CONTAINMENT ELECTRICAL PENETRATIONS NOT PROVIDED WITH BACKUP OVERCURRENT PROTECTION,08/04/1989,8908230243
89137,"KANSAS GAS AND ELECTRIC, MASONEILAN, DRESSER INDUSTRIES",LIMIT SWITCHES NOT ENVIRONMENTALLY OR SEISMICALLY QUALIFIED,08/29/1989,8909050027
89138,"ILLINOIS POWER, SARGENT AND LUNDY ENGINEERS, GENERAL ELECTRIC",FEEDWATER HEATING SYSTEM DESIGN FOUND NOT TO MEET REQUIREMENTS,08/30/1989,8909010347
89139,"TENNESSEE VALLEY AUTHORITY, MORRISON-KNUDSEN",CONTINUOUSLY ENERGIZED SQUARE D RELAYS IN DIESEL GENERATOR CONTROL PANELS MAY FAIL TO OPEN UPON LOSS OF POWER DUE TO RESIDUAL MAGNETISM,08/14/1989,8908180437
89140,"TENNESSEE VALLEY AUTHORITY,ELLIS AND WATTS","POWER CABLES FOR HEATING, VENTILATION, AND AIR CONDITIONING UNITS IN SHUTDOWN BOARD ROOMS FOUND NOT TO BE ENVIRONMENTALLY QUALIFIED FOR HARSH ENVIRONMENTS",09/20/1989,8909280108
89141,"MISSISSIPPI POWER AND LIGHT, AUTOMATIC SWITCH COMPANY",MAIN STEAM ISOLATION VALVE FAILED TO CLOSE DUE TO SOLENOID VALVE ELASTOMER SEAT EXTRUDING INTO EXHAUST PORT VENT HOLE,09/13/1989,8909200038
89142,"MISSISSIPPI POWER AND LIGHT, AUTOMATIC SWITCH COMPANY",MAIN STEAM ISOLATION VALVE FAILED TO CLOSE DUE TO SOLENOID VALVE ELASTOMER SEAT EXTRUDING INTO EXHAUST PORT VENT HOLE,09/18/1989,8910020107
89143,"CAROLINA POWER AND LIGHT, SIEMENS-ALLIS,",MODEL HE3B100 AMP CIRCUIT BREAKERS CAN FAIL TO HOLD THE REQUIRED LOAD,08/25/1989,8909110030
89144,"ARIZONA PUBLIC SERVICE, COMBUSTION ENGINEERING",INTERMITTENT GROUNDING OF COIL LEAD DURING STEPPING MAY RESULT IN A MULTIPLE CONTROL ELEMENT ASSEMBLY SLIP,09/07/1989,8909200039
